Timer(TeamNewProcessesX<7>[SameNumber | 23]): <t> = 14.9888s, std = 0s, 14.9888s <= t <= 14.9888s (n=1)
Timer(TeamConstProcessesX<7>[SameNumber | 23]): <t> = 1.90528s, std = 0s, 1.90528s <= t <= 1.90528s (n=1)
Timer(TeamNewThreadsX<10>[SameNumber | 23]): <t> = 0.819671s, std = 0s, 0.819671s <= t <= 0.819671s (n=1)
Timer(TeamConstThreadsX<10>[SameNumber | 23]): <t> = 223.253ms, std = 0ms, 223.253ms <= t <= 223.253ms (n=1)
Timer(TeamPoolX<10>[SameNumber | 23]): <t> = 230.1ms, std = 0ms, 230.1ms <= t <= 230.1ms (n=1)
Timer(TeamNewProcessesX<10>[SameNumber | 23]): <t> = 11.4408s, std = 0s, 11.4408s <= t <= 11.4408s (n=1)
Timer(TeamConstProcessesX<10>[SameNumber | 23]): <t> = 1.92872s, std = 0s, 1.92872s <= t <= 1.92872s (n=1)
Timer(TeamAsyncX<1>[SameNumber | 23]): <t> = 0.610781s, std = 0s, 0.610781s <= t <= 0.610781s (n=1)
Timer(CalcCollatzSoloTimer): <t> = 0.818228ms, std = 0.647461ms, 0.04641ms <= t <= 2.38715ms (n=298)
Timer(TeamSolo<1>[ShortNumber | 2]): <t> = 244.186ms, std = 0ms, 244.186ms <= t <= 244.186ms (n=1)
Timer(TeamNewThreads<1>[ShortNumber | 2]): <t> = 65.6714ms, std = 0ms, 65.6714ms <= t <= 65.6714ms (n=1)
Timer(TeamConstThreads<1>[ShortNumber | 2]): <t> = 242.783ms, std = 0ms, 242.783ms <= t <= 242.783ms (n=1)
Timer(TeamPool<1>[ShortNumber | 2]): <t> = 242.312ms, std = 0ms, 242.312ms <= t <= 242.312ms (n=1)
Timer(TeamNewProcesses<1>[ShortNumber | 2]): <t> = 0.535512s, std = 0s, 0.535512s <= t <= 0.535512s (n=1)
Timer(TeamConstProcesses<1>[ShortNumber | 2]): <t> = 0.257259s, std = 0s, 0.257259s <= t <= 0.257259s (n=1)
Timer(TeamNewThreads<2>[ShortNumber | 2]): <t> = 109.149ms, std = 0ms, 109.149ms <= t <= 109.149ms (n=1)
Timer(TeamConstThreads<2>[ShortNumber | 2]): <t> = 142.353ms, std = 0ms, 142.353ms <= t <= 142.353ms (n=1)
Timer(TeamPool<2>[ShortNumber | 2]): <t> = 125.702ms, std = 0ms, 125.702ms <= t <= 125.702ms (n=1)
Timer(TeamNewProcesses<2>[ShortNumber | 2]): <t> = 0.27612s, std = 0s, 0.27612s <= t <= 0.27612s (n=1)
Timer(TeamConstProcesses<2>[ShortNumber | 2]): <t> = 192.381ms, std = 0ms, 192.381ms <= t <= 192.381ms (n=1)
Timer(TeamNewThreads<3>[ShortNumber | 2]): <t> = 68.6689ms, std = 0ms, 68.6689ms <= t <= 68.6689ms (n=1)
Timer(TeamConstThreads<3>[ShortNumber | 2]): <t> = 101.78ms, std = 0ms, 101.78ms <= t <= 101.78ms (n=1)
